iteration,current_objective,best_objective,current_total_weight
1203,19061,19109,2499
1204,19061,19109,2499
1205,19061,19109,2499
1206,19061,19109,2499
1207,19061,19109,2499
1208,19061,19109,2499
1209,19061,19109,2499
1210,19061,19109,2499
1211,19061,19109,2499
1212,19061,19109,2499
1213,19061,19109,2499
1214,19061,19109,2499
1215,19061,19109,2499
1216,19061,19109,2499
1217,19061,19109,2499
1218,19061,19109,2499
1219,19061,19109,2499
1220,19061,19109,2499
1221,19061,19109,2499
1222,19061,19109,2499
1223,19061,19109,2499
1224,19061,19109,2499
1225,19061,19109,2499
1226,19061,19109,2499
1227,19061,19109,2499
1228,19061,19109,2499
1229,19061,19109,2499
1230,19061,19109,2499
1231,19061,19109,2499
1232,19061,19109,2499
1233,19061,19109,2499
1234,19061,19109,2499
1235,19061,19109,2499
1236,19061,19109,2499
1237,19061,19109,2499
1238,19061,19109,2499
1239,19061,19109,2499
